order_datetime,order_date,order_time,pizza_name,quantity,year,month,day,weekday,hour
2015-01-01 11:38:36,2015-01-01 00:00:00,11:38:36,The Hawaiian Pizza,1,2015,1,1,3,11
2015-01-01 11:57:40,2015-01-01 00:00:00,11:57:40,The Classic Deluxe Pizza,1,2015,1,1,3,11
2015-01-01 11:57:40,2015-01-01 00:00:00,11:57:40,The Five Cheese Pizza,1,2015,1,1,3,11
2015-01-01 11:57:40,2015-01-01 00:00:00,11:57:40,The Italian Supreme Pizza,1,2015,1,1,3,11
2015-01-01 11:57:40,2015-01-01 00:00:00,11:57:40,The Mexicana Pizza,1,2015,1,1,3,11
2015-01-01 11:57:40,2015-01-01 00:00:00,11:57:40,The Thai Chicken Pizza,1,2015,1,1,3,11
2015-01-01 12:12:28,2015-01-01 00:00:00,12:12:28,The Italian Supreme Pizza,1,2015,1,1,3,12
2015-01-01 12:12:28,2015-01-01 00:00:00,12:12:28,The Prosciutto and Arugula Pizza,1,2015,1,1,3,12
2015-01-01 12:16:31,2015-01-01 00:00:00,12:16:31,The Italian Supreme Pizza,1,2015,1,1,3,12
2015-01-01 12:21:30,2015-01-01 00:00:00,12:21:30,The Italian Supreme Pizza,1,2015,1,1,3,12
2015-01-01 12:29:36,2015-01-01 00:00:00,12:29:36,The Barbecue Chicken Pizza,1,2015,1,1,3,12
2015-01-01 12:29:36,2015-01-01 00:00:00,12:29:36,The Greek Pizza,1,2015,1,1,3,12
2015-01-01 12:50:37,2015-01-01 00:00:00,12:50:37,The Spinach Supreme Pizza,1,2015,1,1,3,12
2015-01-01 12:51:37,2015-01-01 00:00:00,12:51:37,The Spinach Supreme Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Classic Deluxe Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Green Garden Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Italian Capocollo Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Italian Supreme Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Italian Supreme Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Mexicana Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Spicy Italian Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Spinach Pesto Pizza,1,2015,1,1,3,12
2015-01-01 12:52:01,2015-01-01 00:00:00,12:52:01,The Vegetables + Vegetables Pizza,1,2015,1,1,3,12
2015-01-01 13:00:15,2015-01-01 00:00:00,13:00:15,The Mexicana Pizza,1,2015,1,1,3,13
2015-01-01 13:00:15,2015-01-01 00:00:00,13:00:15,The Southwest Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:02:59,2015-01-01 00:00:00,13:02:59,The Barbecue Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:02:59,2015-01-01 00:00:00,13:02:59,The California Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:02:59,2015-01-01 00:00:00,13:02:59,The California Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:02:59,2015-01-01 00:00:00,13:02:59,The Pepperoni Pizza,1,2015,1,1,3,13
2015-01-01 13:04:41,2015-01-01 00:00:00,13:04:41,The California Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:04:41,2015-01-01 00:00:00,13:04:41,The California Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:04:41,2015-01-01 00:00:00,13:04:41,The Chicken Pesto Pizza,1,2015,1,1,3,13
2015-01-01 13:04:41,2015-01-01 00:00:00,13:04:41,The Italian Supreme Pizza,1,2015,1,1,3,13
2015-01-01 13:11:55,2015-01-01 00:00:00,13:11:55,The Mexicana Pizza,1,2015,1,1,3,13
2015-01-01 13:14:19,2015-01-01 00:00:00,13:14:19,The Greek Pizza,1,2015,1,1,3,13
2015-01-01 13:33:00,2015-01-01 00:00:00,13:33:00,The Big Meat Pizza,1,2015,1,1,3,13
2015-01-01 13:33:00,2015-01-01 00:00:00,13:33:00,The Five Cheese Pizza,1,2015,1,1,3,13
2015-01-01 13:33:00,2015-01-01 00:00:00,13:33:00,The Soppressata Pizza,1,2015,1,1,3,13
2015-01-01 13:33:00,2015-01-01 00:00:00,13:33:00,The Greek Pizza,1,2015,1,1,3,13
2015-01-01 13:34:07,2015-01-01 00:00:00,13:34:07,The Four Cheese Pizza,1,2015,1,1,3,13
2015-01-01 13:34:07,2015-01-01 00:00:00,13:34:07,The Napolitana Pizza,1,2015,1,1,3,13
2015-01-01 13:34:07,2015-01-01 00:00:00,13:34:07,The Thai Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Barbecue Chicken Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Calabrese Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Five Cheese Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Four Cheese Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Italian Supreme Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Italian Vegetables Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Mediterranean Pizza,2,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Mexicana Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Pepper Salami Pizza,1,2015,1,1,3,13
2015-01-01 13:53:00,2015-01-01 00:00:00,13:53:00,The Spinach and Feta Pizza,1,2015,1,1,3,13
2015-01-01 13:57:08,2015-01-01 00:00:00,13:57:08,The Napolitana Pizza,1,2015,1,1,3,13
2015-01-01 13:59:09,2015-01-01 00:00:00,13:59:09,The Italian Capocollo Pizza,1,2015,1,1,3,13
2015-01-01 13:59:09,2015-01-01 00:00:00,13:59:09,The Sicilian Pizza,1,2015,1,1,3,13
2015-01-01 14:03:08,2015-01-01 00:00:00,14:03:08,The Big Meat Pizza,1,2015,1,1,3,14
2015-01-01 14:03:08,2015-01-01 00:00:00,14:03:08,The Five Cheese Pizza,1,2015,1,1,3,14
2015-01-01 14:14:29,2015-01-01 00:00:00,14:14:29,The Italian Capocollo Pizza,1,2015,1,1,3,14
2015-01-01 14:16:26,2015-01-01 00:00:00,14:16:26,The Five Cheese Pizza,1,2015,1,1,3,14
2015-01-01 14:16:26,2015-01-01 00:00:00,14:16:26,The Italian Capocollo Pizza,1,2015,1,1,3,14
2015-01-01 14:16:26,2015-01-01 00:00:00,14:16:26,The Southwest Chicken Pizza,1,2015,1,1,3,14
2015-01-01 14:19:03,2015-01-01 00:00:00,14:19:03,The Southwest Chicken Pizza,1,2015,1,1,3,14
2015-01-01 14:23:01,2015-01-01 00:00:00,14:23:01,The Barbecue Chicken Pizza,1,2015,1,1,3,14
2015-01-01 14:23:01,2015-01-01 00:00:00,14:23:01,The Italian Capocollo Pizza,1,2015,1,1,3,14
2015-01-01 14:23:01,2015-01-01 00:00:00,14:23:01,The Pepperoni Pizza,1,2015,1,1,3,14
2015-01-01 14:23:01,2015-01-01 00:00:00,14:23:01,The Prosciutto and Arugula Pizza,1,2015,1,1,3,14
2015-01-01 14:44:44,2015-01-01 00:00:00,14:44:44,The Sicilian Pizza,1,2015,1,1,3,14
2015-01-01 14:44:44,2015-01-01 00:00:00,14:44:44,The Thai Chicken Pizza,1,2015,1,1,3,14
2015-01-01 14:54:26,2015-01-01 00:00:00,14:54:26,The Classic Deluxe Pizza,1,2015,1,1,3,14
2015-01-01 14:54:26,2015-01-01 00:00:00,14:54:26,The Vegetables + Vegetables Pizza,1,2015,1,1,3,14
2015-01-01 15:11:17,2015-01-01 00:00:00,15:11:17,The Barbecue Chicken Pizza,1,2015,1,1,3,15
2015-01-01 15:11:17,2015-01-01 00:00:00,15:11:17,The Classic Deluxe Pizza,1,2015,1,1,3,15
2015-01-01 15:11:17,2015-01-01 00:00:00,15:11:17,The Spinach and Feta Pizza,1,2015,1,1,3,15
2015-01-01 15:35:46,2015-01-01 00:00:00,15:35:46,The Chicken Alfredo Pizza,1,2015,1,1,3,15
2015-01-01 15:41:01,2015-01-01 00:00:00,15:41:01,The Green Garden Pizza,1,2015,1,1,3,15
2015-01-01 15:41:25,2015-01-01 00:00:00,15:41:25,The Thai Chicken Pizza,1,2015,1,1,3,15
2015-01-01 15:50:18,2015-01-01 00:00:00,15:50:18,The Mexicana Pizza,1,2015,1,1,3,15
2015-01-01 15:50:18,2015-01-01 00:00:00,15:50:18,The Pepperoni Pizza,1,2015,1,1,3,15
